m,time,time_std,GFLOPS,GFLOPS_mean,GFLOPS_std,GFLOPS/core
1000,5.948009e-02,2.912723e-02,8.655001e+01,6.033583e+01,1.500765e+01,8.655001e+01
1500,1.524058e-01,1.035717e-02,7.133589e+01,6.393480e+01,3.961043e+00,7.133589e+01
2000,2.315367e-01,1.178444e-02,8.074745e+01,7.275592e+01,3.607384e+00,8.074745e+01
2500,3.295640e-01,9.221632e-03,8.684201e+01,8.118017e+01,2.240595e+00,8.684201e+01
3000,4.425963e-01,8.544218e-02,9.183087e+01,8.249592e+01,1.104436e+01,9.183087e+01
3500,6.021761e-01,2.049864e-03,9.095015e+01,9.076464e+01,3.047070e-01,9.095015e+01
4000,7.812423e-01,1.227520e-01,9.087066e+01,8.718464e+01,9.317781e+00,9.087066e+01
4500,9.821754e-01,1.332916e-01,9.093691e+01,8.783463e+01,8.249483e+00,9.093691e+01
5000,1.217182e+00,1.340015e-01,9.015905e+01,8.758296e+01,6.944149e+00,9.015905e+01
5500,1.444214e+00,2.425306e-01,9.158200e+01,8.714363e+01,9.915177e+00,9.158200e+01
6000,1.719225e+00,2.697785e-01,9.125509e+01,8.700321e+01,9.438721e+00,9.125509e+01
6500,2.007660e+00,3.231520e-01,9.145573e+01,8.468808e+01,1.003076e+01,9.145573e+01
7000,2.345068e+00,2.876188e-01,9.058841e+01,8.102881e+01,7.655292e+00,9.058841e+01
7500,2.656136e+00,3.824117e-01,9.162183e+01,8.342050e+01,9.137528e+00,9.162183e+01
8000,3.004228e+00,4.893600e-01,9.199834e+01,8.022805e+01,9.975324e+00,9.199834e+01
8500,3.338578e+00,5.269215e-01,9.330559e+01,8.269166e+01,1.020721e+01,9.330559e+01
9000,3.768643e+00,6.315038e-01,9.253516e+01,8.301824e+01,1.070749e+01,9.253516e+01
9500,4.201968e+00,6.533731e-01,9.235102e+01,8.161267e+01,9.816190e+00,9.235102e+01
10000,4.737689e+00,7.073656e-01,9.065180e+01,8.077406e+01,9.389248e+00,9.065180e+01
